,NAME,INDUSTRY,2021-01-27,2021-01-28,2021-01-29,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-08,2021-02-09,2021-02-10,2021-02-18,2021-02-19,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-06,2021-05-07,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03
002405.SZ,四维图新,软件服务,51.53,46.26,46.06,46.08,53.07,62.27,64.65,57.59,70.77,70.74,71.13,69.23,74.85,70.64,71.9,74.0,69.02,70.23,72.1,74.52,73.57,69.61,71.64,69.87,71.72,72.33,72.26,68.35,63.86,62.93,62.83,60.13,60.47,54.46,58.85,56.31,56.67,60.16,57.31,57.85,61.93,61.62,66.89,62.88,61.06,63.65,59.95,57.08,64.73,64.29,66.38,69.77,74.0,70.36,67.99,66.38,68.89,67.81,66.09,72.26,64.29,60.16,57.1,51.99,36.4,38.71,40.15,35.09,32.01,37.71,38.58,31.77,32.55,27.02,30.26,30.54,25.25,34.11,36.04,46.44,40.28,37.71,41.25,43.21,38.02,33.32,34.09,46.34,48.52,39.2,47.19,54.23,50.55,49.58,48.06,56.61,49.6,36.96,62.55,59.29,60.24,56.43,49.7,55.69,44.59,46.08,50.94,52.2,26.48,31.77,25.12,26.28,22.4,18.93,23.66,17.26,15.87,13.77,15.16,15.36,13.72,17.39,20.19,19.88,11.38,10.48,13.0,16.52,9.27,9.04,8.53,9.99,8.17,8.48,8.19,7.17,9.09,10.81,10.3,12.64,12.0,11.58,9.17,9.38,7.68,7.04,6.96,8.45
300424.SZ,航新科技,航空,51.5,55.02,46.67,37.61,28.85,21.29,15.39,23.97,20.81,19.86,21.83,27.77,33.14,38.71,54.23,49.63,38.89,44.0,40.51,33.47,32.96,26.02,25.87,27.72,19.37,19.39,19.39,10.22,22.22,25.35,22.76,17.0,21.14,21.5,19.21,11.92,9.3,11.46,12.07,13.28,7.01,5.96,6.32,4.57,1.13,0.41,0.54,1.05,1.21,0.95,1.41,1.93,2.03,1.82,1.93,1.46,1.46,2.44,2.23,3.01,3.01,3.85,5.14,6.96,6.55,9.2,8.81,12.3,21.04,18.42,29.51,29.15,23.14,23.2,20.91,8.17,10.69,4.32,4.83,4.57,5.11,10.2,10.38,7.19,8.73,10.63,15.72,19.27,15.41,18.14,21.06,15.34,17.03,40.82,50.63,48.45,31.62,24.58,35.32,33.24,40.82,25.74,20.06,23.22,22.63,17.03,29.41,19.78,41.46,41.79,40.87,44.13,46.34,23.89,54.79,58.08,55.25,73.54,75.55,80.17,71.77,73.77,72.8,80.27,81.17,84.82,85.1,82.89,83.41,87.39,86.95,84.18,83.07,83.17,76.06,77.7,83.84,84.41,83.2,81.02,81.22,84.0,78.5,81.43,85.41,85.41,84.0,83.0
300219.SZ,鸿利智汇,元器件,51.48,53.51,38.45,41.66,40.41,35.37,31.65,30.03,32.52,31.18,34.34,27.33,22.76,26.18,27.74,27.51,18.83,22.63,36.5,38.99,34.32,35.42,39.82,52.48,40.82,46.88,48.52,48.65,42.59,53.2,50.73,43.31,47.21,47.32,48.81,51.22,45.29,48.63,48.01,47.65,54.33,59.23,55.66,55.9,56.43,52.4,57.64,55.59,57.23,59.31,57.0,59.88,69.07,70.61,72.54,76.42,76.78,77.88,77.65,80.12,76.96,76.73,73.77,71.2,70.38,71.92,74.24,73.77,72.98,61.93,59.23,59.05,56.95,53.3,51.48,45.59,42.49,50.24,50.76,47.55,42.69,18.52,18.83,26.1,21.5,24.43,30.13,31.83,68.71,73.7,79.66,81.92,64.99,68.69,73.03,75.34,75.29,80.3,80.43,81.04,80.58,78.58,77.42,72.39,72.67,69.46,69.23,70.85,67.51,61.52,61.57,65.04,67.45,66.3,72.31,85.95,86.85,86.44,86.39,85.72,87.34,87.8,87.16,84.33,82.66,84.13,84.38,82.84,78.11,80.81,85.28,85.59,84.92,84.41,79.99,81.97,83.07,84.95,87.18,86.95,89.03,90.42,86.62,81.86,83.2,81.76,81.07,81.17
600837.SH,海通证券,证券,51.45,53.71,60.01,53.89,55.59,51.76,54.92,51.35,46.31,45.67,43.39,43.39,45.52,41.72,38.53,41.25,46.03,45.11,41.79,36.53,37.63,36.63,41.59,39.99,45.06,47.88,41.79,41.54,35.37,35.58,37.17,38.86,35.73,37.86,36.14,37.89,25.56,26.35,25.07,22.68,18.62,20.76,21.47,21.91,20.24,21.78,21.91,20.91,20.81,20.88,20.6,18.01,17.72,16.49,19.88,20.32,19.52,18.26,18.24,18.55,22.94,24.25,25.84,25.48,23.99,24.22,22.3,24.4,31.65,29.08,29.28,27.05,41.84,40.02,37.53,40.38,38.45,34.78,38.63,36.32,34.37,32.75,35.45,39.79,39.61,39.87,41.38,46.65,48.09,47.55,49.52,44.21,38.74,38.53,37.37,38.17,39.17,37.71,34.19,32.88,33.39,40.69,32.34,30.34,32.78,30.77,26.51,24.94,27.18,20.68,21.42,28.36,29.82,34.45,33.93,35.35,37.91,41.61,34.83,30.18,36.58,28.33,26.41,29.54,28.56,26.56,25.02,25.17,27.95,28.8,27.95,29.72,30.9,36.66,38.92,46.75,39.69,45.67,44.82,50.96,47.6,48.39,49.63,51.5,51.45,56.25,59.05,56.15
300564.SZ,筑博设计,建筑工程,51.43,58.57,60.18,55.23,58.52,55.3,56.85,64.83,69.82,66.14,65.91,66.71,63.7,61.88,51.79,46.65,58.75,50.32,36.35,44.31,23.35,25.48,29.05,47.01,54.12,48.34,52.58,39.76,44.52,50.86,48.03,51.14,51.27,47.93,48.91,37.04,36.71,40.43,41.2,48.01,47.93,43.05,42.54,41.95,39.33,38.76,33.52,39.79,35.32,34.5,34.96,29.62,22.89,23.48,27.41,24.4,17.13,14.77,15.31,8.58,8.91,8.5,10.74,8.35,6.99,7.53,7.81,5.6,6.68,7.42,9.45,8.76,8.89,11.41,12.28,13.41,11.33,13.15,12.87,11.94,13.51,14.15,19.96,18.88,17.6,16.85,15.28,14.23,17.31,15.62,12.28,13.13,13.74,12.72,14.26,16.57,25.48,37.86,28.82,39.66,32.16,33.52,38.86,35.11,37.22,39.22,47.01,40.89,47.52,48.93,45.26,40.74,39.82,30.41,27.0,37.99,46.6,42.67,34.45,28.38,23.91,19.14,18.37,21.11,18.62,18.06,13.46,12.97,11.64,11.3,13.43,13.23,14.82,15.0,21.4,25.02,14.87,14.23,16.18,14.98,17.11,19.27,21.96,18.96,16.72,20.5,20.88,23.09
600585.SH,海螺水泥,水泥,51.4,47.47,52.81,54.12,49.7,52.09,52.3,60.98,64.73,62.57,62.6,60.03,63.73,63.4,58.95,55.84,61.52,56.54,55.18,54.33,58.59,58.62,52.68,53.04,55.51,60.11,64.22,66.56,58.9,59.03,53.84,53.28,47.93,49.27,47.55,46.08,47.24,50.3,49.11,51.12,47.86,51.22,52.2,53.84,55.51,57.15,56.87,54.92,57.28,58.95,58.77,56.18,57.98,56.25,59.72,56.59,60.03,58.18,55.82,56.31,58.72,46.62,51.19,53.28,53.71,53.33,42.82,43.0,46.72,47.29,40.07,41.07,44.08,46.01,42.33,42.79,44.67,45.03,42.38,36.63,38.02,38.53,41.13,39.17,43.95,48.01,44.95,42.02,39.92,41.33,36.91,22.17,18.44,11.17,13.74,15.28,15.9,15.08,16.11,15.21,11.66,15.08,13.56,13.36,15.23,8.25,6.91,5.37,4.65,4.78,4.08,5.42,5.7,6.37,6.5,7.53,9.5,9.76,7.5,6.91,8.25,7.3,6.83,10.15,11.41,11.38,12.69,10.1,10.79,11.2,10.74,11.33,10.33,10.38,14.31,13.74,10.43,12.95,12.48,10.81,10.12,9.48,12.38,9.35,12.05,14.64,13.2,11.69
600360.SH,华微电子,半导体,51.37,55.25,37.55,24.99,24.56,19.8,25.87,19.14,22.01,22.71,22.3,24.58,28.8,25.07,26.07,28.18,30.7,33.26,35.86,38.02,38.97,43.85,38.97,41.84,33.91,26.97,30.46,31.13,25.33,23.25,22.45,21.65,18.96,15.64,19.78,19.06,22.84,22.14,22.73,23.4,21.5,24.45,39.97,34.16,33.21,32.91,35.53,35.86,40.33,37.43,36.32,36.78,38.02,35.37,38.27,44.72,52.43,56.23,43.36,48.24,59.36,54.05,54.59,49.42,42.23,43.92,51.71,57.72,54.38,52.97,59.62,61.57,57.18,60.98,63.01,61.62,56.61,61.83,57.8,58.16,58.16,48.34,39.74,24.43,22.94,16.0,26.87,37.27,34.91,35.09,58.52,69.33,66.99,66.22,52.84,65.73,52.04,61.83,63.52,60.67,71.1,67.27,66.99,70.05,59.47,62.73,67.76,64.73,65.53,61.11,50.89,38.63,45.85,36.86,45.83,48.75,53.58,65.5,69.56,69.46,73.0,74.49,80.14,79.42,76.21,85.36,84.92,90.8,90.39,88.13,86.33,87.7,89.08,93.37,91.24,87.93,88.36,88.88,87.64,88.8,87.95,85.36,85.33,85.44,80.4,81.04,77.73,80.4
002669.SZ,康达新材,化工原料,51.35,58.1,57.1,58.72,61.34,65.32,55.74,60.21,59.95,62.5,55.9,54.28,53.2,47.65,43.0,43.85,44.44,46.16,39.53,29.1,32.67,29.77,26.89,24.38,27.15,27.25,25.79,33.19,33.91,28.38,26.48,29.33,30.18,33.86,23.02,23.56,25.48,25.02,26.74,28.2,25.56,27.92,28.02,27.36,22.76,20.99,18.39,15.46,13.87,15.1,15.08,14.08,14.9,13.51,11.43,13.49,14.74,15.52,14.69,13.43,13.54,13.41,9.74,8.68,10.92,10.17,10.07,10.71,10.92,5.7,8.04,4.75,5.16,5.6,5.6,4.65,5.81,5.73,6.58,6.55,6.65,6.11,7.14,7.5,8.84,7.68,10.4,10.33,12.05,10.51,10.4,10.35,9.81,10.12,11.48,12.92,11.3,9.99,9.04,9.92,10.33,10.81,10.58,11.3,11.38,11.94,13.85,20.22,18.55,16.88,16.83,8.91,7.3,7.99,7.58,7.4,7.14,6.78,7.14,8.01,7.27,7.04,7.89,7.04,6.6,5.86,6.99,8.04,8.45,8.3,9.02,7.86,8.84,8.25,8.81,8.63,9.66,9.58,12.72,15.0,15.57,19.78,20.45,21.6,20.63,17.67,31.08,28.23
601958.SH,金钼股份,小金属,51.32,51.07,50.81,45.7,47.78,58.21,56.33,57.31,57.64,59.11,60.78,66.43,67.09,75.19,72.82,78.27,77.93,77.29,78.37,74.8,76.09,75.65,73.26,72.16,72.13,70.41,72.46,70.25,68.58,68.89,69.28,68.61,68.25,71.33,66.99,66.43,67.12,67.27,69.41,69.25,65.45,64.37,64.73,65.48,67.51,70.54,72.85,71.64,71.56,69.84,73.26,73.05,71.41,68.66,68.53,71.59,70.77,73.82,75.44,73.34,72.64,66.71,73.34,75.01,77.86,76.24,74.83,72.57,71.13,70.9,69.95,68.2,67.79,66.2,61.55,58.72,60.67,58.26,61.39,62.86,62.27,62.21,64.17,60.52,63.91,66.4,68.89,69.0,68.23,70.77,70.49,73.9,70.38,65.48,66.12,74.57,73.77,69.41,64.32,57.13,64.09,58.93,62.29,64.65,63.45,64.17,52.66,61.93,65.96,65.48,64.32,70.72,69.46,72.41,73.29,75.24,73.9,76.37,76.16,74.26,75.24,75.21,76.55,74.98,69.02,64.63,68.17,77.91,79.24,74.78,73.21,70.95,74.34,66.43,68.17,65.91,67.84,75.78,73.26,80.94,83.33,84.61,86.87,86.98,88.72,86.98,86.31,83.3
300466.SZ,赛摩智能,电器仪表,51.3,52.04,51.99,56.51,58.0,51.14,53.17,52.99,47.73,50.91,52.5,55.36,58.46,65.35,63.68,62.01,54.48,55.18,44.34,41.41,43.57,37.07,34.06,39.02,29.64,25.15,24.15,18.65,37.68,44.59,39.48,11.66,5.7,7.68,8.55,8.86,9.02,4.68,6.76,9.5,11.64,9.3,9.81,10.48,9.74,6.5,3.62,5.06,4.01,5.78,5.27,6.7,7.4,1.41,1.67,2.03,3.16,3.42,4.47,3.6,2.62,3.26,3.78,5.5,6.27,8.27,8.55,8.3,8.94,10.71,11.61,9.92,11.48,12.56,12.56,12.54,16.62,15.98,20.7,27.02,24.02,24.87,18.08,22.19,25.69,23.07,29.64,26.46,24.99,21.29,21.89,22.48,31.31,38.04,40.66,38.89,34.32,36.24,30.7,28.59,45.9,49.45,63.73,61.39,57.15,60.9,71.59,65.01,66.74,67.79,68.89,66.71,62.75,61.49,61.47,61.08,64.12,60.9,74.98,76.24,66.84,74.85,76.62,78.01,76.29,84.31,82.89,78.68,80.81,82.25,80.79,78.94,73.88,71.44,72.95,67.56,66.48,68.1,71.9,70.13,65.32,65.6,60.08,60.39,61.88,62.47,58.57,63.27
603600.SH,永艺股份,家居用品,51.27,28.51,25.07,15.64,16.65,17.49,25.12,21.73,25.51,23.94,16.77,17.39,21.06,12.54,5.47,2.83,4.57,4.32,3.93,9.38,11.97,10.22,12.48,19.91,21.89,22.35,26.3,20.68,13.05,10.27,15.82,18.42,15.44,14.72,13.13,10.3,12.69,12.66,13.05,11.56,10.02,11.46,14.05,15.57,15.62,15.05,14.95,16.11,15.87,16.67,19.29,18.34,26.02,24.35,27.23,29.33,27.15,22.37,19.78,12.48,12.15,11.02,10.43,6.73,7.3,8.4,6.91,5.57,6.14,4.14,4.42,4.47,4.57,4.52,8.81,9.32,10.76,11.12,9.17,10.66,9.58,9.97,7.32,7.81,7.4,7.55,7.96,8.53,9.45,10.89,11.74,10.76,12.3,12.66,13.77,12.43,11.89,12.97,11.51,10.79,10.4,11.33,13.33,11.41,9.68,11.1,11.25,12.28,14.26,20.88,26.53,21.53,16.9,17.72,14.95,13.56,14.46,13.9,12.77,11.38,13.43,14.74,14.23,15.36,13.31,14.44,11.84,12.33,15.62,15.85,18.16,15.59,16.44,16.29,17.0,20.19,22.63,20.45,17.65,15.57,13.92,15.36,14.87,15.69,15.23,15.57,15.49,18.42
603037.SH,凯众股份,汽车配件,51.25,52.74,61.62,62.11,55.77,53.74,62.29,66.17,64.76,62.96,67.27,70.38,69.71,66.48,64.37,63.34,65.27,63.34,60.39,63.6,63.68,65.09,64.99,66.4,64.71,66.81,65.14,60.03,64.22,67.74,69.36,68.66,69.69,66.86,68.35,70.0,67.89,69.77,68.89,65.25,64.04,66.09,68.56,67.53,67.63,67.27,67.56,65.6,67.02,69.38,68.38,67.81,67.87,67.87,66.56,67.66,63.27,66.27,66.45,57.23,64.22,45.41,47.7,47.57,47.88,49.45,50.99,47.83,48.73,52.04,47.83,50.58,48.01,46.19,47.73,45.85,45.9,45.47,46.06,49.83,47.78,51.94,54.69,54.89,55.82,53.84,48.52,51.4,54.33,54.2,47.03,41.74,50.68,50.99,52.5,53.12,50.96,57.33,57.03,59.26,59.62,61.62,61.8,63.14,58.36,45.52,42.36,45.34,60.06,56.18,57.64,57.13,58.36,58.16,57.0,56.18,55.59,50.32,52.38,54.64,51.3,50.27,42.54,37.09,37.37,34.99,35.68,39.56,41.02,44.0,41.69,50.89,46.55,47.08,50.01,50.3,54.89,57.18,56.49,55.46,61.24,63.29,63.55,59.9,60.62,57.39,57.98,57.23
002921.SZ,联诚精密,汽车配件,51.22,55.59,52.89,47.06,48.47,46.83,42.0,42.97,41.13,40.92,40.92,39.97,41.97,37.12,31.83,32.7,34.5,39.1,38.43,43.44,48.09,45.47,45.62,49.7,52.58,52.58,52.99,54.79,62.75,61.98,65.07,70.56,71.51,62.88,65.5,68.69,65.09,65.09,65.19,59.59,63.09,60.47,59.85,62.14,60.08,65.35,62.47,49.88,45.67,44.95,54.41,50.76,52.27,54.41,55.07,54.38,51.71,52.84,50.78,44.82,48.34,49.68,49.76,54.33,40.33,9.94,10.17,10.12,14.05,12.48,9.86,6.63,6.01,6.94,6.34,5.7,6.42,7.6,8.91,9.25,12.28,11.61,11.15,11.97,14.36,11.48,12.92,10.2,10.79,10.33,10.43,9.63,9.2,10.3,9.84,10.48,9.74,15.62,10.48,13.77,12.41,12.95,13.28,14.87,17.18,19.57,23.14,22.17,20.94,20.45,18.14,11.74,13.77,13.36,13.72,13.59,13.64,13.25,12.89,12.2,11.12,11.35,13.43,16.98,16.7,17.16,19.75,21.53,19.83,19.7,20.16,19.96,19.6,17.65,19.6,17.03,16.54,13.31,15.57,17.31,14.46,14.28,15.26,17.47,15.9,14.49,14.82,16.36
300346.SZ,南大光电,元器件,51.19,37.63,43.15,47.68,48.81,32.01,37.45,33.96,36.76,38.56,33.52,37.12,46.9,44.0,41.41,36.89,36.86,38.33,34.99,29.82,31.6,40.77,42.9,35.09,25.92,25.51,39.97,38.84,30.62,27.13,24.15,19.29,19.78,18.67,31.67,29.08,34.04,29.9,21.32,27.38,23.76,26.84,31.85,24.97,21.37,21.65,20.6,23.48,23.66,26.02,23.2,24.74,25.61,40.97,45.93,42.56,45.08,49.63,34.55,38.38,36.73,36.76,36.81,33.44,15.34,13.82,22.19,26.51,22.84,32.49,31.26,33.37,30.11,28.98,35.53,34.32,24.4,40.95,35.24,47.42,66.68,67.45,65.48,73.08,68.4,68.82,75.49,74.8,63.29,61.96,68.05,83.92,81.71,71.74,41.33,53.3,29.31,30.88,32.67,40.56,44.28,45.34,37.02,43.54,49.06,59.57,69.28,68.82,72.62,62.65,57.51,50.6,56.41,44.1,53.07,65.35,83.25,85.15,85.72,89.73,94.5,97.17,98.25,97.84,97.59,98.23,97.71,97.51,97.28,97.74,97.15,97.3,96.02,96.81,97.43,96.56,96.28,96.33,96.04,96.53,96.25,95.04,93.45,93.04,92.01,92.91,91.73,93.96
601107.SH,四川成渝,路桥,51.17,50.14,51.76,50.22,50.76,50.24,50.45,51.25,51.58,51.04,51.97,51.66,49.83,48.29,52.12,54.43,57.69,54.92,56.28,56.69,51.35,51.94,52.25,52.45,56.43,53.94,55.28,52.3,49.42,42.85,40.56,47.73,50.58,54.59,52.22,55.9,53.4,52.61,45.95,49.32,48.68,56.97,55.38,59.34,62.16,59.62,60.75,61.01,56.56,56.74,65.84,65.96,63.19,59.88,61.21,63.09,61.88,64.91,59.36,58.77,59.49,60.24,65.91,69.07,69.79,69.36,64.19,63.47,63.24,64.65,61.98,59.83,59.49,61.49,61.57,61.29,59.08,57.54,54.84,54.97,55.56,56.38,57.72,58.98,58.62,57.39,52.27,50.27,51.07,52.12,51.43,48.91,47.11,47.52,46.75,44.0,48.55,48.5,47.44,47.24,42.41,46.24,48.96,48.57,50.32,44.36,45.16,45.49,42.61,44.41,44.64,45.06,45.65,46.11,47.14,49.88,53.48,53.22,51.63,52.94,55.54,50.86,51.27,48.75,47.5,46.08,45.62,44.08,43.15,43.15,43.87,45.11,45.44,43.49,45.95,45.67,43.44,48.65,48.27,47.88,50.91,50.86,51.37,49.55,47.01,47.11,49.47,46.39
603901.SH,永创智能,专用机械,51.14,58.39,55.95,68.23,65.48,69.3,72.57,80.53,80.71,77.65,74.44,72.13,72.33,69.56,60.6,61.42,55.18,69.43,74.44,66.35,67.92,73.82,71.69,63.52,59.26,69.25,80.09,81.02,82.79,82.04,82.22,87.64,86.13,86.26,85.08,85.64,82.58,84.43,86.33,86.44,87.36,90.6,90.93,90.34,86.85,86.98,87.59,88.31,88.83,91.93,93.09,92.83,91.34,91.22,89.16,90.75,92.11,91.45,91.99,93.24,91.7,90.98,91.55,90.91,91.29,88.44,84.64,78.55,86.98,90.93,89.21,88.83,89.88,90.68,92.99,94.37,94.5,94.79,95.43,96.94,97.53,96.56,95.71,96.61,96.38,97.2,97.69,97.1,96.94,96.87,96.66,96.66,96.46,97.41,96.94,96.92,97.23,97.69,97.66,97.97,97.97,97.66,97.33,97.15,97.1,96.63,96.46,96.38,96.71,95.56,94.71,94.14,93.48,92.4,91.83,92.78,92.63,91.06,89.83,91.32,91.27,90.42,90.32,87.72,88.29,87.8,85.2,76.01,78.86,82.76,79.48,76.14,79.73,81.79,87.8,86.98,82.38,82.79,81.35,85.33,86.13,83.95,89.01,88.88,88.03,86.85,83.87,86.41
603719.SH,良品铺子,食品,51.12,52.27,55.54,61.7,66.63,66.22,50.78,51.07,51.79,55.48,62.63,56.69,47.88,43.49,40.17,42.95,52.56,51.09,27.1,45.52,40.51,37.02,30.46,20.73,22.96,34.01,36.55,42.44,29.9,27.95,31.18,32.96,34.11,37.66,37.66,29.21,24.04,21.11,17.96,27.77,24.74,23.3,24.56,24.89,22.96,22.35,22.66,21.17,24.22,25.17,24.04,18.7,19.73,23.63,46.06,61.49,43.46,45.44,45.26,50.6,49.6,45.95,50.12,45.29,35.96,28.33,29.03,27.84,26.87,33.6,34.88,29.87,32.08,31.49,33.29,38.61,42.02,39.92,38.92,35.45,37.45,35.06,28.92,27.18,35.22,32.91,25.94,23.4,24.43,15.28,13.56,11.97,9.12,10.35,9.53,6.42,6.55,6.58,8.81,11.46,9.35,10.27,9.94,4.32,2.85,2.18,2.03,2.8,2.31,1.9,1.93,1.57,1.75,1.77,1.77,1.59,1.21,1.28,1.46,1.9,1.9,1.77,1.49,1.36,1.34,1.39,1.88,1.62,2.31,1.98,1.41,0.98,1.0,1.08,0.95,0.87,0.74,1.0,1.93,1.72,2.05,2.31,3.03,4.08,4.39,4.37,3.93,3.78
002483.SZ,润邦股份,工程机械,51.09,45.34,49.91,50.06,48.83,58.08,48.52,43.0,44.77,47.01,49.88,50.68,59.77,59.34,56.49,52.04,50.4,41.38,50.89,50.86,57.62,62.11,57.59,59.8,59.13,55.84,49.96,49.76,45.29,49.96,55.23,50.91,43.39,49.73,46.62,32.85,25.97,36.12,25.46,28.74,24.45,34.22,25.48,23.76,25.82,22.89,23.38,21.5,20.88,20.96,25.33,26.77,26.25,23.38,19.14,18.78,20.06,19.98,18.44,19.45,27.05,26.28,28.51,29.13,30.23,29.39,29.44,28.69,32.91,19.11,14.64,12.25,14.0,15.82,14.49,15.13,12.18,7.68,8.55,8.01,8.76,8.89,9.99,9.4,8.4,8.19,14.33,11.05,16.39,29.13,29.05,21.09,22.91,39.89,42.28,33.75,31.21,28.26,28.64,29.93,26.87,21.19,22.25,20.19,18.57,19.88,16.9,19.62,17.83,21.96,30.36,51.89,44.44,47.62,51.81,47.52,46.11,46.11,49.55,50.14,53.4,52.84,56.02,58.87,61.39,61.16,69.41,72.59,71.0,72.67,69.59,66.56,65.45,69.18,69.69,72.13,70.51,70.51,72.57,69.54,65.35,65.25,66.2,61.88,62.37,65.73,70.31,69.02
600153.SH,建发股份,商贸代理,51.07,49.45,54.07,56.25,55.9,54.46,52.04,57.49,58.31,56.74,54.82,53.63,54.71,54.71,54.05,55.41,60.8,56.79,48.91,49.42,51.25,59.05,57.8,59.11,57.59,59.62,60.72,61.83,60.39,60.65,62.91,63.47,61.65,58.18,60.49,63.32,65.32,63.45,60.72,62.98,61.47,61.93,62.27,63.88,65.76,65.78,66.68,69.12,67.07,63.88,66.07,70.38,68.4,61.7,62.7,63.81,66.17,65.45,62.81,57.1,60.9,57.33,56.79,55.46,55.54,53.1,49.06,50.76,51.07,47.86,46.98,42.95,46.98,48.88,45.85,45.36,44.64,44.7,44.8,46.03,42.23,45.11,44.31,43.92,41.46,43.21,39.79,38.04,46.21,42.72,50.22,46.37,43.15,41.79,41.48,42.97,51.04,49.86,51.43,50.37,47.8,53.61,56.69,58.77,56.92,40.89,35.09,29.64,26.23,27.49,29.18,29.75,32.52,33.88,29.98,29.59,30.62,32.42,29.44,29.26,34.34,30.8,28.08,26.97,27.38,25.66,23.25,20.37,21.11,21.53,23.12,25.69,25.46,26.56,27.05,25.66,20.83,24.25,24.27,25.48,25.28,25.71,29.08,31.83,33.37,34.11,39.69,39.04
002124.SZ,天邦股份,饲料,51.04,46.6,38.53,58.49,59.85,69.43,66.25,64.29,59.44,46.85,46.39,44.13,64.91,71.41,70.38,67.33,65.4,57.31,63.81,55.56,57.0,48.32,50.09,46.29,43.92,61.03,64.76,66.66,54.17,55.82,65.66,66.71,63.42,71.92,75.67,77.93,82.53,78.53,74.98,69.69,73.47,70.36,69.23,66.04,64.78,58.03,64.19,62.91,63.47,58.7,59.75,61.98,67.09,71.95,67.69,60.96,63.29,58.77,60.18,60.13,59.93,60.34,59.21,60.03,43.0,42.61,40.64,36.45,39.35,33.57,34.19,32.24,2.54,2.34,2.0,1.77,1.67,1.49,1.18,1.08,1.08,1.03,0.9,0.8,0.51,0.62,0.59,0.54,0.51,0.33,0.39,0.39,0.36,0.28,0.36,0.44,0.41,0.33,0.72,0.44,0.51,0.49,0.59,0.23,0.21,0.21,0.18,0.21,0.26,0.18,0.21,0.15,0.15,0.21,0.21,0.15,0.28,0.31,0.41,0.1,0.1,0.15,0.21,0.08,0.05,0.03,0.03,0.1,0.05,0.05,0.08,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.08,0.1,0.08,0.08,0.08
000701.SZ,厦门信达,综合类,51.01,57.51,55.69,56.61,52.58,37.73,37.22,29.59,36.99,41.15,46.93,43.05,38.81,45.59,43.85,45.36,49.32,49.5,48.09,45.0,35.78,22.3,25.74,31.0,31.85,26.25,29.39,30.72,26.92,25.56,27.92,32.52,30.08,31.72,33.42,32.16,33.16,34.55,32.8,29.49,26.69,30.95,33.62,44.31,51.12,50.12,45.11,36.86,38.92,31.03,26.66,30.77,30.9,24.81,26.51,26.95,24.71,26.66,25.04,26.77,31.03,31.36,34.16,36.3,37.37,41.41,57.98,57.77,50.14,50.53,51.48,40.1,38.53,38.97,44.16,38.76,38.15,37.09,40.74,44.05,45.13,38.35,42.26,37.27,41.77,45.11,41.87,47.83,43.57,42.08,44.62,54.02,56.41,56.15,57.26,58.16,62.37,69.69,71.9,77.5,73.26,70.0,71.69,73.62,72.08,71.31,72.1,69.33,73.54,78.09,78.55,73.16,75.49,73.41,71.38,72.8,75.16,73.03,76.62,79.32,75.29,71.67,69.69,62.52,70.95,69.64,66.48,63.55,60.29,58.49,55.64,54.38,54.33,55.66,55.41,55.46,53.89,53.76,52.4,52.97,52.84,50.09,51.09,51.76,50.55,51.43,50.12,51.94
