,NAME,INDUSTRY,2021/6/30,2021/7/1,2021/7/2,2021/7/5,2021/7/6,2021/7/7,2021/7/8,2021/7/9,2021/7/12,2021/7/13,2021/7/14,2021/7/15,2021/7/16,2021/7/19,2021/7/20,2021/7/21,2021/7/22,2021/7/23,2021/7/26,2021/7/27,2021/7/28,2021/7/29,2021/7/30,2021/8/2,2021/8/3,2021/8/4,2021/8/5,2021/8/6,2021/8/9,2021/8/10
002349.SZ,精华制药,中成药,74.35,82.91,84.29,84.9,85.0,79.2,76.05,80.47,74.48,78.27,80.18,83.57,83.73,93.22,94.04,93.77,89.8,90.54,89.75,82.11,69.53,63.38,60.41,73.93,82.06,79.81,83.92,79.01,80.55,83.25
000055.SZ,方大集团,其他建材,74.32,69.45,70.3,64.92,71.7,67.62,65.47,69.69,63.12,72.39,68.81,74.72,72.79,72.95,65.37,66.11,46.58,21.97,54.56,44.73,43.4,49.23,47.46,48.65,44.25,47.43,45.6,46.34,49.66,39.14
688100.SH,威胜信息,通信设备,74.3,67.28,60.76,76.68,68.52,68.2,74.51,61.0,45.63,21.89,43.61,34.39,48.78,28.75,40.91,67.12,66.61,66.4,53.74,67.25,13.3,19.16,55.14,61.37,57.71,52.54,52.94,57.02,64.86,69.53
600491.SH,龙元建设,建筑工程,74.27,77.72,80.07,67.01,66.11,53.95,53.68,48.25,36.67,27.56,23.13,29.25,32.91,33.7,16.61,18.73,17.7,9.06,9.19,4.58,6.47,5.01,3.02,4.53,4.21,4.58,5.51,5.86,6.52,6.2
000059.SZ,华锦股份,石油加工,74.24,52.99,59.49,78.11,75.17,77.4,49.28,62.32,34.76,53.44,62.51,27.87,21.01,37.15,23.21,16.56,20.72,16.64,23.71,4.82,6.01,9.64,7.37,8.56,4.13,3.84,5.14,5.03,10.73,4.29
300149.SZ,睿智医药,生物制药,74.22,82.14,75.76,57.31,29.28,37.65,46.5,59.62,66.06,49.66,65.16,56.23,55.51,21.41,4.35,3.79,6.36,6.01,1.19,2.52,2.38,2.7,4.03,8.88,35.96,34.87,41.15,27.13,17.67,24.99
600503.SH,华丽家族,区域地产,74.19,63.04,75.15,74.64,70.61,66.67,72.28,64.33,51.09,36.17,38.87,41.44,44.36,29.65,25.23,26.55,22.07,35.77,27.32,17.22,19.77,19.37,12.69,14.44,19.98,24.09,17.65,26.97,30.82,32.17
002975.SZ,博杰股份,专用机械,74.17,66.16,82.94,80.15,80.92,75.3,79.73,78.17,82.41,81.8,76.97,24.35,13.09,5.94,5.27,7.29,3.63,2.84,2.17,6.15,3.52,5.54,3.58,2.99,4.16,6.44,3.52,2.99,2.44,3.52
300555.SZ,路通视信,通信设备,74.14,78.62,76.97,84.15,84.29,70.51,61.84,60.44,70.06,54.64,30.52,28.46,33.04,38.63,50.64,69.18,62.88,66.88,64.07,68.07,31.88,51.38,59.8,57.39,60.63,66.96,74.17,71.28,64.15,59.04
002643.SZ,万润股份,化工原料,74.11,79.01,76.13,68.23,79.09,73.21,72.52,62.37,67.28,58.51,60.86,55.96,84.42,91.23,83.97,80.42,69.79,71.57,70.99,72.39,50.9,67.33,69.05,81.98,80.9,81.96,77.77,81.08,81.93,88.63
002241.SZ,歌尔股份,元器件,74.09,84.61,76.44,83.49,88.26,89.06,85.45,74.3,65.45,42.0,60.07,63.2,51.85,50.21,59.46,14.26,7.47,18.34,19.93,19.61,35.11,23.08,31.05,22.02,16.51,37.84,48.22,67.3,73.61,65.18
603662.SH,柯力传感,电器仪表,74.06,74.91,77.74,1.35,1.06,0.85,0.61,0.64,0.69,0.58,0.45,0.58,0.61,0.77,0.79,0.56,0.69,0.79,1.22,2.28,1.78,5.41,7.98,94.3,98.78,98.33,97.85,98.3,98.62,97.54
300741.SZ,华宝股份,食品,74.03,75.33,74.8,80.6,79.12,79.76,79.39,72.76,67.78,40.49,74.4,76.95,60.49,56.84,39.3,30.68,13.83,6.47,8.85,11.87,13.67,13.46,12.82,8.45,12.93,12.0,8.29,6.89,7.98,8.13
300062.SZ,中能电气,电气设备,74.01,58.64,73.24,68.73,78.06,77.32,82.19,82.88,87.07,92.26,86.38,88.08,90.01,94.59,98.07,98.22,96.08,95.1,97.46,94.65,96.24,96.71,97.72,96.29,94.06,95.12,92.58,95.34,96.37,94.94
603348.SH,文灿股份,汽车配件,73.98,84.34,87.73,74.03,70.51,49.39,57.42,54.32,71.73,53.31,41.28,29.36,45.73,15.21,23.34,31.53,35.88,46.13,22.07,15.0,16.0,36.46,42.16,53.02,51.51,74.59,85.69,92.45,94.12,95.63
002544.SZ,杰赛科技,软件服务,73.95,76.15,77.34,74.83,71.17,63.09,64.52,59.46,61.55,66.67,74.99,62.85,60.55,72.44,73.42,76.5,45.76,59.11,62.32,66.35,71.36,72.42,70.03,66.93,63.3,71.22,70.83,65.05,63.28,64.84
000902.SZ,新洋丰,农药化肥,73.93,47.72,33.55,27.93,26.68,76.1,65.26,73.58,88.63,90.73,95.26,97.09,97.96,96.77,91.47,92.95,95.42,96.93,94.04,89.06,83.62,81.9,92.66,94.78,92.5,84.26,90.3,87.23,73.5,65.47
300807.SZ,天迈科技,软件服务,73.9,69.58,78.51,72.87,31.08,50.61,62.51,73.61,77.27,60.47,79.09,52.12,36.06,32.75,45.76,62.75,67.78,68.92,64.04,58.74,39.35,39.53,39.69,19.08,41.41,43.24,59.04,36.49,30.9,34.18
300347.SZ,泰格医药,医疗保健,73.87,87.39,80.58,43.77,8.0,16.08,3.21,4.56,10.78,25.57,44.89,36.83,24.75,11.53,7.68,11.37,8.03,4.35,3.47,5.03,11.82,4.9,6.23,10.94,66.56,55.56,85.64,76.29,55.09,19.32
300097.SZ,智云股份,电器仪表,73.85,66.43,72.05,80.02,77.56,77.42,75.65,72.47,77.34,76.79,90.33,80.13,66.96,93.69,95.5,92.0,94.25,95.12,95.87,97.75,94.89,94.7,87.76,89.19,93.72,93.75,92.55,96.5,97.93,96.4
601208.SH,东材科技,化工原料,73.82,81.56,87.94,81.32,79.44,71.78,1.93,1.91,2.73,8.69,27.9,22.52,14.1,16.11,16.08,37.47,62.19,43.08,49.74,19.29,34.26,24.96,19.24,19.21,18.52,19.71,90.91,87.92,91.71,89.11
300553.SZ,集智股份,电器仪表,73.79,70.01,77.13,87.1,82.11,86.94,81.27,78.8,77.93,77.0,70.06,64.6,57.68,38.37,51.14,66.64,66.45,61.95,74.72,80.5,73.74,92.74,90.78,82.94,80.84,68.57,75.33,80.5,89.72,87.23
300491.SZ,通合科技,电气设备,73.77,80.07,95.57,98.33,97.09,96.34,94.52,92.16,91.15,92.37,86.7,86.96,84.13,88.66,91.84,92.5,92.21,90.33,94.12,93.32,81.74,83.2,57.53,14.31,30.79,50.45,69.98,79.6,66.45,60.39
000682.SZ,东方电子,软件服务,73.74,65.92,69.1,60.7,63.94,58.08,59.75,50.08,55.17,48.12,39.83,48.41,54.43,57.13,59.09,62.29,49.21,52.76,51.8,53.82,47.72,44.86,49.07,54.29,54.32,53.79,53.87,56.49,51.67,49.6
002282.SZ,博深股份,轻工机械,73.71,83.12,73.5,73.58,78.19,81.27,78.83,79.68,87.76,84.15,90.67,92.74,90.7,92.0,93.69,92.87,92.1,90.41,91.65,87.94,88.77,80.76,79.7,79.97,70.93,68.6,74.64,73.66,52.65,59.49
002325.SZ,洪涛股份,装修装饰,73.69,70.72,69.69,75.28,80.52,73.16,69.48,74.72,62.88,57.82,47.99,35.19,47.24,45.31,49.13,57.13,32.51,22.81,26.74,25.83,28.72,31.82,32.78,22.36,25.3,34.45,36.75,33.89,34.63,25.15
600332.SH,白云山,中成药,73.66,87.76,88.45,82.49,81.98,81.56,75.62,75.52,74.96,75.15,75.23,74.09,78.19,87.23,84.08,82.17,75.83,70.38,38.77,21.17,31.48,12.69,7.45,12.16,21.67,19.4,31.64,30.76,36.99,29.25
300797.SZ,钢研纳克,电器仪表,73.64,65.08,79.94,83.47,82.59,86.99,85.8,89.35,86.41,78.99,74.09,82.17,76.66,83.02,79.36,79.68,77.82,77.66,76.76,83.41,54.95,73.9,65.55,64.26,68.34,58.64,64.49,56.78,57.18,84.84
688122.SH,西部超导,小金属,73.61,78.64,69.42,67.46,60.44,74.11,88.66,88.58,91.73,90.67,86.04,81.72,86.35,79.07,82.17,82.06,80.68,85.03,82.91,87.2,80.82,87.33,92.71,95.76,95.68,94.49,92.42,94.14,94.3,96.21
002541.SZ,鸿路钢构,钢加工,73.58,92.02,87.86,87.18,89.98,86.96,72.97,62.67,50.79,28.35,50.4,65.71,56.07,62.72,50.4,13.62,16.24,5.86,16.19,14.31,18.55,5.38,8.88,32.49,31.98,37.39,50.29,70.03,77.87,81.74
603915.SH,国茂股份,机械基件,73.56,78.8,75.17,66.72,67.83,74.46,76.13,57.79,70.96,67.67,71.28,79.15,79.89,89.85,90.28,89.3,89.69,85.45,88.13,85.51,82.43,81.32,77.0,85.27,88.84,91.36,92.74,93.61,94.97,96.5
002086.SZ,*ST东洋,渔业,73.53,71.17,65.92,74.51,72.52,66.85,69.74,78.25,66.75,74.93,64.04,52.76,58.51,68.71,64.63,60.57,37.52,36.51,45.63,64.15,61.66,60.2,47.85,41.87,47.01,43.3,25.86,23.16,31.8,27.77
600462.SH,ST九有,广告包装,73.5,85.67,90.62,89.24,92.79,94.97,92.74,89.72,87.89,87.55,75.68,84.84,84.0,91.65,56.92,53.55,50.21,55.35,59.04,61.21,71.78,61.71,58.66,57.37,61.66,24.96,16.85,12.72,10.89,10.41
600196.SH,复星医药,化学制药,73.48,83.49,85.19,84.68,61.26,47.85,56.62,42.4,30.45,50.29,64.65,78.93,88.21,89.88,83.52,90.51,83.49,85.98,46.18,44.67,64.57,64.33,81.77,82.35,95.57,95.92,97.16,93.38,89.8,91.63
600025.SH,华能水电,水力发电,73.45,75.36,72.15,67.44,69.42,59.62,54.13,55.25,36.49,31.37,25.83,37.68,49.07,19.74,20.96,11.98,12.4,11.95,9.41,16.72,35.19,25.46,27.64,34.74,32.25,57.66,50.32,55.38,50.37,42.85
603558.SH,健盛集团,纺织,73.42,69.66,86.04,75.7,81.77,79.28,75.6,72.34,72.42,73.34,66.3,72.89,73.87,85.4,84.23,80.74,79.73,77.69,73.82,68.81,47.11,52.65,21.89,29.73,33.23,48.36,56.89,61.37,54.13,52.78
688098.SH,申联生物,生物制药,73.4,58.48,65.32,57.23,66.77,72.47,77.13,74.01,72.07,71.67,64.97,51.27,47.91,43.8,57.79,59.09,57.1,46.93,47.19,51.3,30.31,36.88,38.92,68.95,56.52,40.73,41.02,38.34,34.61,45.81
300095.SZ,华伍股份,机械基件,73.37,85.53,88.82,88.05,83.81,95.95,93.75,92.18,90.51,92.42,92.1,93.69,94.22,90.43,90.36,91.57,91.18,91.2,91.92,90.33,82.01,74.72,71.97,83.02,86.25,57.45,68.39,86.75,83.89,78.19
300018.SZ,中元股份,电气设备,73.34,69.87,78.8,75.36,84.31,72.34,66.11,59.83,70.35,65.53,51.96,72.18,68.95,80.74,88.02,91.68,85.35,86.91,91.94,91.04,85.69,88.24,86.17,85.64,86.09,89.08,90.83,91.79,87.33,92.0
300699.SZ,光威复材,化工原料,73.32,72.07,58.93,51.67,44.57,56.44,77.72,76.44,77.37,43.35,44.01,39.32,37.23,11.42,19.71,25.68,22.31,21.67,45.57,48.17,21.14,43.77,55.25,83.36,86.88,84.31,72.52,73.13,72.84,85.14
300170.SZ,汉得信息,软件服务,73.29,79.68,74.54,78.25,75.04,62.82,68.76,35.64,48.75,38.24,20.22,23.87,18.68,20.61,26.55,42.18,49.44,43.3,33.04,35.53,27.29,27.13,33.31,36.62,83.23,81.35,74.88,69.37,68.47,68.71
002906.SZ,华阳集团,汽车配件,73.26,62.32,61.76,58.51,45.28,60.81,75.07,61.9,73.5,85.53,86.54,93.59,93.53,89.48,90.46,95.07,92.77,95.76,94.09,91.6,94.06,94.46,96.58,96.37,96.63,94.59,97.38,95.2,94.14,95.89
600476.SH,湘邮科技,软件服务,73.24,60.17,58.11,61.37,53.05,42.4,51.27,34.84,42.18,56.28,24.43,39.16,45.39,49.47,60.52,58.03,53.6,54.11,50.74,41.15,46.48,62.77,64.18,61.5,60.6,61.16,61.0,59.78,50.0,35.11
300632.SZ,光莆股份,半导体,73.21,75.94,73.85,69.55,54.13,60.63,71.2,67.49,76.5,47.22,63.3,39.11,24.14,19.71,52.28,57.66,66.91,35.06,22.5,39.27,19.9,52.01,61.58,58.08,62.64,68.28,69.24,65.32,55.72,82.88
002355.SZ,兴民智通,汽车配件,73.18,86.49,87.81,88.95,90.28,92.26,91.6,93.46,83.57,72.58,47.3,63.09,82.38,66.93,76.39,89.9,87.25,86.01,77.34,70.99,69.34,51.96,17.36,19.16,10.49,6.6,5.22,2.91,4.58,41.15
600601.SH,ST方科,IT设备,73.16,54.32,32.49,33.97,67.36,45.73,51.85,55.38,48.36,16.4,6.41,7.58,3.79,4.8,5.43,5.86,4.53,6.23,13.38,33.44,30.07,29.57,29.78,33.07,17.22,22.42,17.97,14.07,17.22,19.21
600379.SH,宝光股份,电气设备,73.13,79.33,86.49,81.98,75.68,64.49,73.87,74.96,74.88,82.22,90.94,92.66,89.03,91.49,95.73,94.41,84.79,79.25,89.56,72.2,62.16,75.86,75.83,84.21,84.02,81.08,83.09,89.83,90.62,86.27
300576.SZ,容大感光,染料涂料,73.11,81.37,90.96,90.36,86.33,89.3,86.41,81.72,87.1,81.58,70.24,39.27,37.47,42.98,66.4,58.64,84.42,76.6,80.58,82.51,89.96,94.28,96.18,94.25,91.2,89.72,85.8,86.78,88.02,93.77
603979.SH,金诚信,建筑工程,73.08,75.86,77.5,77.95,74.59,85.67,80.66,80.05,75.33,77.03,83.68,80.18,84.61,81.61,88.21,86.54,81.61,86.27,86.46,92.45,92.34,90.83,89.0,88.58,85.0,84.74,73.85,69.26,63.01,41.26
000058.SZ,深赛格,元器件,73.05,72.28,73.18,73.82,76.63,70.96,71.07,74.19,68.12,74.27,79.28,79.41,80.79,79.94,78.83,77.61,49.66,60.04,46.58,56.36,45.52,49.13,49.13,59.14,54.64,52.09,46.53,36.3,42.13,36.65
603629.SH,利通电子,元器件,73.03,91.92,95.6,95.92,93.03,92.87,89.03,88.31,88.61,91.49,88.74,84.15,86.46,93.35,91.1,90.86,88.24,85.51,68.81,49.26,13.28,4.45,2.57,1.62,8.48,7.0,12.37,16.08,13.28,8.03
300700.SZ,岱勒新材,矿物制品,73.0,56.65,58.88,71.91,72.07,71.09,70.32,68.49,64.23,72.5,65.1,43.46,38.5,37.86,39.35,49.18,41.23,59.14,64.68,67.04,52.89,75.38,75.38,72.6,80.21,76.95,84.1,79.68,83.78,80.42
002903.SZ,宇环数控,机床制造,72.97,74.83,79.76,78.35,83.2,77.16,78.78,79.73,71.07,73.26,70.59,71.09,68.44,68.79,66.98,64.1,65.58,70.69,71.89,79.54,86.59,84.9,77.82,84.02,76.15,83.28,79.41,74.91,79.23,79.92
002026.SZ,山东威达,机械基件,72.95,78.06,85.82,84.58,86.09,82.3,87.18,91.34,80.95,89.9,87.76,92.05,91.89,89.11,89.14,89.22,89.14,79.62,68.15,36.94,12.0,30.45,21.54,24.17,20.11,34.08,35.45,28.06,77.64,73.13
300286.SZ,安科瑞,电器仪表,72.92,77.37,84.39,78.59,68.97,73.53,79.44,76.92,85.45,85.67,78.72,56.01,55.01,27.61,45.6,85.06,86.25,75.07,82.14,74.06,57.87,83.33,91.2,90.94,88.39,90.46,85.11,88.29,87.94,86.88
603017.SH,中衡设计,建筑工程,72.89,66.35,72.79,65.66,61.5,64.18,59.88,52.62,58.69,62.0,54.13,73.11,70.35,67.54,62.0,60.23,27.13,17.04,15.55,52.84,30.05,36.59,23.77,23.66,33.33,24.8,21.09,21.73,13.83,9.91
300100.SZ,双林股份,汽车服务,72.87,73.48,77.8,80.47,84.66,74.14,77.05,74.83,81.16,61.82,66.64,69.21,45.23,45.18,53.84,61.08,73.95,74.56,63.8,63.86,25.28,56.76,62.67,60.07,69.24,76.13,69.48,79.94,73.05,75.41
688278.SH,特宝生物,生物制药,72.84,70.96,75.25,81.85,79.99,83.89,78.17,77.5,81.58,85.69,82.62,84.42,85.32,73.74,74.96,79.7,74.48,61.0,31.51,29.12,46.82,43.32,23.61,13.91,19.24,10.23,7.21,5.48,2.84,2.25
688218.SH,江苏北人,专用机械,72.81,60.94,70.96,71.49,59.11,67.89,74.24,64.07,73.87,74.06,69.55,63.8,57.74,42.02,57.82,59.35,66.88,71.28,66.61,78.7,66.53,76.23,78.22,84.53,85.53,85.8,80.1,81.64,79.52,80.79
300074.SZ,华平股份,软件服务,72.79,71.36,77.77,82.11,82.64,72.92,66.67,45.12,43.16,63.43,40.81,26.63,35.56,36.04,43.51,50.26,66.19,60.15,56.36,53.63,40.96,55.06,54.98,47.38,57.84,60.94,61.39,58.59,46.24,23.45
000413.SZ,东旭光电,元器件,72.76,44.38,61.47,43.22,55.83,63.51,79.28,83.07,77.24,85.19,80.95,66.88,66.32,68.15,64.94,63.83,50.66,47.32,56.41,63.88,51.83,55.86,61.02,67.99,63.14,58.88,39.43,44.81,39.27,37.57
000777.SZ,中核科技,机械基件,72.73,72.89,62.88,62.72,65.26,56.12,58.77,57.23,54.61,51.7,41.26,36.09,42.21,50.13,53.6,44.06,42.69,38.45,32.43,35.82,29.62,31.96,42.1,42.85,40.04,50.5,45.36,52.49,46.82,42.45
300259.SZ,新天科技,电器仪表,72.71,76.1,77.72,76.29,75.44,78.4,77.0,63.22,41.84,17.36,37.71,27.0,35.69,45.05,31.24,47.22,52.97,54.45,55.22,67.33,48.01,52.78,63.49,59.04,63.59,62.27,61.18,62.77,64.73,67.54
000559.SZ,万向钱潮,汽车配件,72.68,69.4,77.19,75.3,72.89,78.88,68.47,79.39,81.93,72.71,76.55,74.67,80.58,87.12,83.33,82.99,55.33,77.42,74.24,80.74,79.17,73.77,65.05,68.47,70.56,66.03,72.79,57.1,49.79,59.41
300468.SZ,四方精创,软件服务,72.66,73.74,64.26,67.75,58.82,41.02,56.65,25.07,22.47,9.7,18.6,11.9,10.68,9.09,11.5,11.5,21.12,14.2,15.58,12.9,7.21,13.35,21.01,17.83,16.24,21.62,10.1,16.59,16.75,17.2
000613.SZ,*ST东海A,旅游服务,72.63,72.05,73.98,68.52,50.5,54.56,44.33,64.68,54.77,69.53,68.97,57.68,62.27,57.66,58.69,41.28,20.4,16.51,23.79,21.49,23.08,31.24,39.51,23.13,25.38,16.8,13.83,11.47,18.1,13.86
300552.SZ,万集科技,软件服务,72.6,72.5,63.88,52.01,48.89,49.13,49.63,43.88,43.75,37.49,5.8,5.03,6.57,5.46,5.94,6.23,5.64,3.47,6.36,7.98,7.02,11.18,9.27,31.77,23.79,20.06,15.55,13.35,12.61,14.07
300688.SZ,创业黑马,综合类,72.58,75.01,77.32,79.41,75.28,69.21,74.32,62.77,72.34,63.38,61.34,24.83,36.22,31.85,32.25,41.34,44.52,44.25,18.12,17.57,15.37,23.34,23.37,16.77,20.24,23.93,12.72,16.96,13.22,14.63
300652.SZ,雷迪克,汽车配件,72.55,47.16,46.61,47.99,75.07,75.41,68.39,71.04,69.1,62.08,60.81,59.67,38.92,43.24,12.16,23.42,34.18,33.36,24.43,19.63,17.14,29.31,25.73,37.15,15.29,18.28,23.66,21.2,20.61,27.0
600602.SH,云赛智联,软件服务,72.52,70.69,58.77,61.02,51.48,39.59,39.19,29.33,48.2,35.9,27.87,21.65,25.49,15.71,20.61,18.28,27.58,34.29,31.11,37.49,20.59,23.66,26.05,26.21,22.73,23.4,21.67,26.31,17.75,18.97
300515.SZ,三德科技,电器仪表,72.5,70.14,75.94,73.32,78.14,80.07,77.82,78.19,75.41,60.17,49.44,51.46,46.03,35.72,37.76,87.1,91.41,84.82,86.04,86.22,90.94,91.26,86.83,80.68,79.52,78.11,74.99,82.09,84.79,85.53
002722.SZ,金轮股份,纺织机械,72.47,62.27,64.28,64.18,69.5,73.13,67.81,63.38,63.41,45.73,55.64,48.7,38.58,16.43,20.19,18.95,16.45,25.99,28.8,40.14,28.64,28.33,32.59,42.77,46.13,37.86,48.38,51.51,52.23,64.94
000852.SZ,石化机械,化工机械,72.44,65.37,68.47,68.42,73.71,70.08,55.78,62.51,59.25,48.15,33.2,45.47,55.46,51.8,9.54,17.54,20.8,29.33,26.68,32.8,29.84,33.49,29.57,29.65,26.55,35.51,35.27,33.02,25.91,32.43
300002.SZ,神州泰岳,软件服务,72.42,67.54,65.26,60.6,62.32,50.11,48.54,41.23,37.81,34.02,16.72,23.34,30.47,40.59,57.37,50.79,64.81,63.88,57.95,49.87,36.72,51.48,53.87,47.67,86.67,88.26,91.41,88.95,84.26,83.39
600372.SH,中航电子,航空,72.39,63.65,48.89,44.59,36.14,36.17,60.89,52.15,62.22,51.64,26.71,30.6,49.15,32.19,41.57,47.19,43.35,49.63,56.15,66.61,56.09,73.69,76.87,82.78,81.27,81.05,89.69,89.16,89.4,94.67
688388.SH,嘉元科技,铜,72.36,75.12,90.59,87.44,80.68,86.04,88.02,89.85,94.22,91.23,93.53,94.7,82.35,59.38,54.53,78.72,73.24,75.97,71.86,64.79,42.95,48.73,9.49,8.82,9.57,23.74,15.9,20.67,2.65,5.19
603613.SH,国联股份,互联网,72.34,92.16,91.49,86.88,85.08,83.68,81.9,77.45,85.37,88.02,89.98,88.16,84.79,84.08,88.42,88.29,77.85,71.89,44.73,35.37,50.4,19.77,19.26,32.14,23.64,7.63,13.09,24.43,6.25,5.35
000553.SZ,安道麦A,农药化肥,72.31,69.79,62.51,62.48,66.45,74.56,67.86,68.28,65.66,69.08,72.6,75.83,76.26,83.31,57.39,65.45,69.24,77.08,76.42,76.02,75.54,71.73,71.33,77.8,79.44,69.08,67.65,63.8,59.19,55.54
002922.SZ,伊戈尔,电气设备,72.28,71.38,75.57,74.4,64.94,78.06,77.85,57.68,65.16,31.24,12.45,4.64,7.05,4.05,6.09,6.89,2.73,3.5,5.22,8.24,5.11,20.43,38.5,61.16,69.95,69.0,49.71,62.72,67.99,66.38
002328.SZ,新朋股份,汽车配件,72.26,61.18,62.8,75.46,71.97,66.3,68.84,71.38,68.55,68.36,67.3,65.34,66.51,73.26,74.99,71.07,72.15,74.09,73.08,78.83,75.81,78.33,79.6,74.4,77.82,74.8,79.84,84.31,87.73,92.05
002729.SZ,好利来,元器件,72.23,75.49,71.57,61.74,66.51,62.64,57.63,58.53,54.13,41.79,41.57,48.46,47.03,46.9,43.11,51.27,51.91,51.43,50.19,50.32,35.85,50.95,45.57,41.34,37.49,39.08,36.99,35.45,25.23,32.19
603311.SH,金海高科,专用机械,72.2,62.75,40.91,42.32,47.64,46.21,39.85,46.61,44.36,38.39,26.26,32.99,26.55,24.48,23.16,39.45,36.62,43.0,47.69,40.94,10.97,18.04,25.94,37.68,34.87,38.87,35.85,34.79,36.86,39.98
000063.SZ,中兴通讯,通信设备,72.18,78.51,44.09,40.78,22.79,23.69,30.23,28.96,69.42,77.05,79.86,75.68,68.73,85.14,86.01,82.91,84.82,81.85,78.7,86.41,89.88,84.45,89.69,92.24,93.27,95.23,94.83,93.91,88.53,84.66
300710.SZ,万隆光电,通信设备,72.15,40.7,24.22,41.49,15.08,7.58,2.68,2.65,2.89,2.28,1.96,1.62,1.93,2.12,2.84,2.23,3.71,5.96,14.39,21.7,11.0,20.3,23.26,12.43,12.82,15.47,13.46,15.32,20.46,35.45
600408.SH,ST安泰,焦炭加工,72.13,63.12,62.61,74.99,73.79,68.65,43.67,59.54,29.07,15.87,7.47,15.26,27.27,47.24,40.89,24.43,19.77,19.58,39.48,42.0,44.89,54.35,46.08,15.74,8.64,18.02,21.41,29.15,27.45,40.81
002319.SZ,乐通股份,染料涂料,72.1,28.8,25.01,36.04,78.56,68.81,67.67,79.2,68.28,70.67,74.46,75.78,81.32,70.83,74.93,76.05,65.21,63.83,77.4,47.3,53.21,66.32,54.24,63.43,32.72,33.97,32.59,27.19,25.38,25.2
603982.SH,泉峰汽车,汽车配件,72.07,73.32,71.25,77.32,68.39,47.35,47.22,59.78,62.77,62.37,67.57,44.33,36.88,38.1,41.55,34.02,28.93,28.83,24.88,21.14,37.73,29.41,27.45,20.51,20.96,24.54,25.7,25.7,19.85,18.12
603322.SH,超讯通信,通信设备,72.05,75.6,74.85,73.98,56.28,56.92,56.7,45.39,47.3,48.86,31.74,22.1,20.35,20.24,21.83,28.3,31.0,37.04,10.76,23.64,44.65,50.13,56.49,54.24,60.55,57.29,58.0,54.29,49.95,53.34
002706.SZ,良信股份,电气设备,72.02,76.07,76.21,65.92,76.15,75.23,78.09,76.1,72.36,70.03,74.83,73.53,74.64,69.58,75.09,72.79,51.17,51.09,51.51,43.72,52.17,54.64,55.99,58.27,57.31,48.33,30.58,32.94,50.79,51.09
300712.SZ,永福股份,建筑工程,71.99,82.06,87.36,80.31,84.76,95.87,96.82,95.89,98.2,99.36,99.58,99.42,99.39,99.23,99.44,99.87,99.79,99.74,99.92,99.76,99.84,99.89,99.92,99.89,99.63,99.42,99.6,99.68,99.52,99.39
600532.SH,未来股份,医疗保健,71.97,79.57,73.32,73.87,76.44,77.72,77.03,77.9,75.76,78.48,72.39,66.51,66.8,67.38,64.79,43.59,41.39,54.03,64.41,54.53,60.1,64.02,63.12,55.01,60.2,58.13,65.82,67.89,60.02,51.7
002823.SZ,凯中精密,机械基件,71.94,68.34,71.65,67.99,66.35,69.98,69.24,68.6,76.23,74.51,75.6,85.43,83.07,80.9,77.03,80.63,77.66,78.7,74.99,78.59,82.3,77.82,81.11,79.44,80.37,75.6,71.25,76.18,65.37,66.14
600982.SH,宁波能源,供气供热,71.91,63.59,62.96,71.83,74.8,69.63,70.4,76.6,32.25,21.12,42.55,37.23,42.82,38.34,17.67,21.86,29.81,43.53,36.35,33.62,38.55,44.62,43.43,33.65,34.0,36.01,31.61,26.79,31.64,25.6
300064.SZ,*ST金刚,矿物制品,71.89,70.06,70.22,88.39,86.75,73.87,65.42,77.77,78.75,88.31,77.45,75.17,81.45,81.64,67.04,73.26,69.53,58.11,69.82,72.79,62.77,72.55,70.06,58.56,51.72,55.33,33.47,42.45,48.44,21.97
000823.SZ,超声电子,元器件,71.86,72.55,70.75,63.78,63.59,55.06,66.06,71.86,80.18,75.33,71.49,63.33,63.43,68.12,68.81,58.21,64.76,62.37,57.42,77.13,67.12,74.35,74.54,72.89,69.18,71.49,64.44,65.34,61.45,64.71
000835.SZ,*ST长动,影视音像,71.83,49.76,46.87,66.0,69.26,33.36,40.54,61.37,57.82,71.22,85.93,86.99,91.79,91.44,91.44,93.11,90.96,92.69,92.63,92.87,92.05,85.06,72.79,61.0,62.59,64.97,62.64,52.31,73.4,60.52
603444.SH,吉比特,互联网,71.81,57.02,34.79,8.96,8.32,24.11,24.88,20.3,36.72,9.57,35.72,6.01,35.48,23.71,25.57,39.24,29.23,15.66,7.9,6.68,8.61,11.21,10.76,10.86,6.49,5.19,4.93,2.89,2.99,2.97
600403.SH,ST大有,煤炭开采,71.78,64.47,65.0,73.0,67.3,64.94,45.84,64.1,52.91,63.99,75.89,73.56,63.96,75.04,68.79,55.88,37.6,39.8,55.99,59.75,60.28,61.87,57.37,47.32,45.26,47.32,49.79,42.21,39.08,29.89
688090.SH,瑞松科技,专用机械,71.75,66.4,54.82,66.19,65.5,67.99,66.08,53.95,64.84,60.33,57.26,30.66,24.17,13.99,21.14,24.99,83.7,95.28,93.72,93.4,93.72,91.1,89.93,96.42,93.16,93.67,92.82,89.51,91.6,91.65
603045.SH,福达合金,电气设备,71.73,62.9,70.8,75.38,77.87,78.48,71.97,70.56,69.61,70.99,63.35,63.51,60.02,67.86,59.3,62.93,66.4,59.91,70.16,69.53,73.9,79.81,80.13,74.22,76.79,71.46,70.08,71.86,70.67,82.06
