,NAME,INDUSTRY,2021-06-10,2021-06-11,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-30,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-06,2021-09-07,2021-09-08,2021-09-09,2021-09-10,2021-09-13,2021-09-14,2021-09-15,2021-09-16,2021-09-17,2021-09-22,2021-09-23,2021-09-24,2021-09-27,2021-09-28,2021-09-29,2021-09-30,2021-10-08,2021-10-11,2021-10-12,2021-10-13,2021-10-14,2021-10-15,2021-10-18,2021-10-19,2021-10-20,2021-10-21,2021-10-22,2021-10-25,2021-10-26,2021-10-27,2021-10-28,2021-10-29,2021-11-01,2021-11-02,2021-11-03,2021-11-04,2021-11-05,2021-11-08
002368.SZ,太极股份,软件服务,87.82,85.56,76.78,74.08,71.05,65.68,65.84,51.73,45.61,45.8,29.93,22.4,17.71,17.71,63.72,46.36,50.7,32.73,28.65,37.52,35.51,51.87,73.75,64.84,61.11,64.16,76.32,76.64,75.8,74.55,79.26,81.29,86.35,87.61,72.05,82.17,83.53,82.55,82.45,79.7,74.43,72.49,58.98,60.06,58.49,55.51,29.21,21.61,20.51,28.04,20.67,16.12,13.21,10.08,11.48,8.66,28.51,22.96,34.51,64.44,77.86,76.06,71.26,65.59,78.39,84.02,83.15,88.5,87.12,87.96,91.95,90.6,94.47,95.33,94.07,93.28,81.8,85.09,90.18,93.93,84.39,78.6,90.92,96.34,93.28,95.22,93.12,93.56,93.77,90.97,89.2,88.54,79.28,84.18,89.06,89.38,89.48,89.94,79.56,42.88
300114.SZ,中航电测,电器仪表,87.8,85.93,86.14,87.96,85.84,87.1,90.06,88.19,85.53,82.01,81.71,83.15,75.13,78.39,74.78,70.44,58.4,56.84,77.27,84.72,84.58,78.56,70.09,57.47,67.97,73.96,70.0,77.32,76.5,73.12,78.37,82.73,74.01,64.35,74.85,71.35,82.99,78.65,73.59,67.13,79.72,88.29,93.44,92.63,89.45,90.53,90.64,89.01,92.23,96.59,94.03,92.93,94.19,94.24,92.37,92.46,87.4,87.38,62.93,62.23,28.23,28.39,21.75,17.8,32.29,19.18,17.22,13.79,10.31,3.45,4.18,4.13,5.16,7.16,8.24,8.45,6.32,4.53,9.05,9.96,10.34,5.55,6.95,14.09,9.33,11.06,22.68,18.08,24.5,35.39,40.69,15.52,18.57,19.97,36.72,58.21,52.31,59.43,59.05,38.05
002079.SZ,苏州固锝,半导体,87.77,80.54,86.75,85.04,91.25,88.85,85.53,88.36,84.55,85.46,89.15,89.27,88.26,89.9,89.15,86.72,84.48,68.74,54.22,74.64,75.59,83.71,59.22,49.7,33.95,61.18,70.63,73.4,72.82,66.05,65.77,55.55,80.35,73.85,84.48,92.63,90.06,88.64,88.5,79.37,78.35,77.02,87.03,86.77,89.38,80.03,89.99,72.38,67.27,71.16,60.71,87.0,80.54,89.15,86.96,63.09,80.56,89.2,81.45,92.51,95.19,94.28,96.45,96.13,95.57,95.38,89.36,93.91,94.05,92.53,90.5,83.36,66.73,48.18,29.72,38.94,26.81,21.98,28.58,11.57,3.85,8.61,2.73,4.9,3.92,5.62,17.01,8.07,9.87,23.52,34.13,27.55,30.59,40.06,77.67,76.13,74.17,82.64,87.07,81.52
603733.SH,仙鹤股份,造纸,87.75,86.16,85.18,82.69,89.64,87.21,91.09,91.95,92.88,90.13,93.72,93.75,97.81,97.95,98.72,97.81,97.5,96.55,96.13,96.15,96.52,96.45,96.48,96.59,96.34,95.94,91.93,92.77,91.76,90.95,86.91,86.21,65.63,75.71,67.01,60.57,24.06,57.98,43.23,32.59,28.77,27.74,18.36,20.16,10.43,22.19,27.97,13.02,20.18,23.5,26.55,9.1,15.49,12.32,13.84,15.17,25.36,17.97,20.72,16.78,10.8,11.41,17.06,13.91,17.57,15.14,16.15,23.26,13.72,12.13,9.54,21.37,33.92,20.37,31.71,21.05,14.35,14.82,15.52,25.64,28.28,24.48,28.79,33.48,52.05,56.44,82.73,84.37,88.36,88.43,94.38,90.48,84.23,87.52,81.68,85.51,89.8,84.76,85.95,88.47
600470.SH,六国化工,农药化肥,87.73,93.33,89.57,85.77,83.55,82.41,77.02,71.77,74.29,61.2,72.31,80.56,84.02,76.08,69.32,56.49,67.71,76.95,83.71,59.54,83.76,80.0,88.36,88.43,91.16,93.68,92.7,92.65,93.44,94.21,93.16,92.95,88.08,91.97,91.74,89.8,87.0,68.32,60.99,56.0,38.87,30.33,30.12,52.82,54.41,61.99,73.31,48.23,48.32,43.26,34.6,31.52,75.24,74.1,65.19,91.39,93.84,96.71,94.0,95.96,94.35,90.6,93.91,93.49,90.76,79.12,89.94,95.89,97.69,98.97,99.51,99.58,99.21,98.48,98.13,95.75,88.94,88.03,94.45,84.67,90.06,93.14,87.54,84.79,91.67,94.0,79.02,80.89,82.59,65.24,7.09,8.24,12.34,49.79,82.15,60.78,64.21,57.42,43.84,55.25
601799.SH,星宇股份,汽车配件,87.7,92.49,82.76,78.63,70.95,77.04,89.45,89.22,81.26,88.36,88.82,89.59,91.58,89.22,91.46,86.89,72.26,65.35,66.26,70.67,70.18,77.41,69.51,72.21,75.69,54.62,21.54,37.0,51.87,52.75,52.59,38.17,28.3,42.56,37.52,48.76,70.37,65.82,66.01,64.75,58.17,38.71,39.57,32.85,28.91,17.94,9.94,7.56,3.99,5.67,7.28,5.02,4.97,2.4,6.35,10.38,6.98,11.6,8.56,7.86,6.74,10.62,10.29,14.05,14.14,27.79,28.77,34.6,51.4,36.96,38.73,45.08,37.0,57.0,52.12,55.04,44.47,36.33,37.42,74.92,81.43,80.61,94.17,96.59,96.15,95.59,96.08,95.1,94.52,95.03,96.57,96.9,97.95,97.41,94.66,95.17,93.51,95.43,95.1,87.12
688198.SH,佰仁医疗,医疗保健,87.68,85.28,83.69,66.5,46.76,78.04,87.31,82.15,77.3,83.88,88.8,94.05,92.28,91.83,96.78,95.24,92.67,91.04,90.92,86.72,85.37,89.36,87.26,90.41,90.39,77.11,87.05,85.56,86.21,80.47,54.04,14.14,8.0,10.92,4.92,3.87,5.41,18.88,27.48,44.03,39.59,32.03,46.97,26.78,30.82,45.89,56.37,71.51,67.03,83.88,83.9,93.56,93.23,87.66,86.3,94.42,90.67,82.08,80.42,62.93,81.92,85.93,82.45,84.86,90.01,89.83,56.86,79.02,76.62,66.73,80.17,84.9,90.6,91.95,95.89,91.97,78.44,90.39,82.83,80.42,68.85,68.46,56.95,48.65,37.21,56.79,60.06,8.03,15.21,30.31,32.52,18.78,16.73,6.81,2.1,4.81,41.02,23.96,45.89,48.34
002675.SZ,东诚药业,化学制药,87.66,82.1,72.42,67.22,65.89,68.11,68.01,63.0,53.55,77.88,82.83,65.17,44.87,49.32,51.4,72.94,80.8,74.92,76.97,54.22,59.12,64.14,62.23,56.3,61.27,54.64,53.06,59.08,45.68,22.14,10.99,16.57,25.03,39.06,28.72,13.95,5.79,15.7,12.93,11.32,7.82,8.84,9.31,16.45,13.39,10.83,12.58,14.0,15.89,17.17,19.27,11.34,7.7,3.43,5.32,7.44,6.11,1.31,3.27,4.46,10.85,11.55,10.83,10.66,10.73,11.01,9.75,8.98,8.63,9.05,16.8,19.09,15.05,13.04,18.29,14.72,19.76,41.39,35.63,32.92,18.34,15.12,12.48,14.33,17.94,14.19,19.09,15.07,39.71,18.39,12.51,27.02,55.86,53.06,52.87,76.15,72.33,80.42,78.98,66.05
605016.SH,百龙创园,食品,87.63,75.34,17.1,12.81,6.18,11.9,4.48,3.57,2.61,2.26,2.47,1.98,2.4,2.45,7.3,13.23,8.19,3.99,3.52,4.34,9.71,5.9,8.56,4.01,2.85,3.29,3.38,1.35,2.01,6.0,5.02,7.3,5.04,8.4,5.3,3.52,14.4,8.59,8.94,7.7,9.61,19.88,20.86,37.33,70.53,67.15,79.4,83.11,76.22,77.48,85.14,83.9,79.44,85.42,82.71,87.61,85.07,86.37,85.23,88.45,81.87,86.61,85.49,81.71,50.93,68.67,49.07,58.33,72.12,77.39,76.39,80.52,86.56,82.94,89.03,74.36,43.16,50.28,44.66,14.28,15.1,4.85,22.28,15.26,16.29,6.88,11.2,12.41,11.29,9.54,5.11,4.41,9.31,2.68,3.08,13.09,30.47,36.0,51.38,82.78
600727.SH,鲁北化工,化工原料,87.61,86.49,86.7,76.34,75.03,69.37,58.47,58.82,62.3,50.09,63.44,42.3,49.74,47.9,32.06,35.46,46.06,29.07,71.33,35.95,49.93,83.04,74.73,91.04,90.97,93.0,94.42,93.56,92.6,94.07,94.52,92.11,92.25,93.82,91.04,86.44,84.39,73.61,74.31,72.96,71.02,50.7,54.83,30.12,46.85,62.51,40.2,41.6,51.12,63.81,79.79,93.37,96.62,92.56,95.54,97.85,97.69,99.02,98.16,97.97,96.55,95.82,97.43,97.25,97.11,94.38,97.39,96.9,97.57,97.76,94.63,94.91,77.97,74.97,45.8,41.93,28.74,9.59,19.02,16.66,30.1,30.7,17.94,14.42,12.51,39.06,11.11,25.64,12.09,4.2,4.69,2.59,3.99,10.22,20.77,6.35,5.93,3.8,2.94,2.19
002279.SZ,久其软件,软件服务,87.59,92.98,88.78,91.69,92.95,89.52,89.85,82.27,80.66,41.39,59.68,34.37,56.65,55.51,52.17,62.67,69.97,56.02,53.9,64.77,17.5,8.03,22.96,8.31,7.14,12.6,9.54,15.28,20.51,32.45,21.77,25.8,22.66,31.08,38.22,30.47,21.82,24.45,29.98,13.74,23.68,19.83,18.27,24.17,29.84,25.71,23.78,21.68,20.7,22.49,27.97,34.65,24.55,18.64,27.04,45.33,40.15,35.18,40.6,40.36,45.03,43.42,43.23,57.37,55.65,55.27,55.09,58.63,58.49,60.17,56.44,51.98,55.16,57.93,54.2,43.26,45.19,48.39,47.04,58.98,44.54,41.39,46.55,32.5,32.69,35.77,37.49,30.52,33.46,18.97,24.8,26.71,30.96,32.31,27.6,26.95,28.88,26.43,32.69,30.12
600660.SH,福耀玻璃,汽车配件,87.56,90.69,83.36,75.69,72.87,78.72,86.56,86.98,86.82,86.07,83.76,81.19,79.58,81.17,81.29,80.33,47.69,51.52,62.97,36.98,37.56,21.91,14.47,16.08,16.68,17.29,9.33,8.91,6.51,6.86,8.31,8.91,7.75,17.62,34.74,19.95,41.65,51.61,49.21,57.23,54.92,57.3,47.32,53.5,54.46,41.39,40.64,33.88,21.26,34.74,34.65,36.82,51.19,20.91,12.53,21.63,24.01,19.13,14.26,10.45,8.05,5.88,12.11,14.68,12.3,14.16,11.36,21.86,27.09,19.3,22.59,20.39,20.04,33.88,45.1,36.42,22.42,20.0,17.17,46.83,69.04,78.21,85.23,90.04,89.8,88.71,91.76,86.42,90.36,92.32,94.84,95.08,94.19,89.9,82.06,91.51,90.88,92.63,92.49,80.98
603879.SH,永悦科技,化工原料,87.54,90.81,81.94,94.35,86.96,89.87,87.05,90.43,91.81,90.46,81.94,87.24,9.94,7.7,9.33,9.73,16.92,15.82,4.5,12.65,28.72,22.7,50.75,9.08,47.99,25.43,21.12,12.74,5.62,7.37,7.58,2.8,51.05,72.0,72.59,70.63,59.38,56.58,59.15,47.2,39.69,33.36,52.75,45.78,24.01,18.04,18.62,16.89,24.01,15.7,20.63,39.55,36.84,28.72,15.8,17.66,25.5,33.06,19.41,21.4,16.29,19.53,5.32,10.59,14.51,16.87,34.55,31.68,33.04,33.78,43.98,40.95,40.74,37.89,29.44,22.07,19.06,14.19,39.85,37.03,37.98,30.33,39.1,33.11,54.5,65.28,42.84,39.62,42.6,36.44,27.55,32.1,34.48,33.69,54.08,56.84,63.18,67.73,45.96,45.89
300737.SZ,科顺股份,其他建材,87.52,86.65,79.33,76.27,77.02,52.31,52.59,54.78,28.91,42.0,52.78,61.55,8.19,8.73,0.02,0.05,0.02,0.07,0.02,0.0,0.0,0.02,0.0,0.05,0.05,0.02,0.02,0.02,0.07,0.05,0.05,0.05,0.05,0.05,23.03,32.34,42.72,43.91,39.73,58.03,59.4,61.27,44.96,35.21,30.87,38.99,64.19,83.18,87.33,91.88,94.33,92.84,94.77,87.45,83.71,86.93,60.9,43.14,66.89,39.87,38.4,71.65,77.11,73.96,76.36,85.11,86.12,63.44,21.19,9.94,7.07,3.1,3.64,4.88,10.45,12.97,27.23,28.58,9.12,16.5,15.82,3.13,3.36,6.02,4.04,3.08,3.15,6.49,36.86,51.73,46.24,55.34,48.79,36.42,15.19,8.66,8.35,9.99,8.05,4.01
603223.SH,恒通股份,供气供热,87.49,93.51,94.66,95.19,93.42,94.49,94.77,94.0,93.96,95.17,95.24,94.7,95.8,93.96,89.06,82.31,73.73,72.82,43.98,67.94,73.5,82.06,82.01,83.43,86.26,81.96,75.94,75.99,71.58,80.38,76.25,77.25,78.93,81.92,80.63,74.36,70.16,65.33,84.11,89.06,82.76,63.44,54.01,73.57,78.58,76.08,61.25,75.22,85.53,78.95,81.33,71.51,76.78,77.72,75.34,82.83,89.8,89.57,73.45,56.63,63.0,76.11,78.65,45.59,33.06,35.18,74.5,72.56,55.3,56.35,58.7,58.1,46.66,48.69,33.6,36.09,24.92,36.09,48.95,48.13,60.38,71.14,64.51,65.49,53.64,34.51,9.82,11.71,16.99,19.6,12.62,20.21,26.76,18.57,11.9,12.86,15.21,4.43,5.65,13.86
688366.SH,昊海生科,生物制药,87.47,87.66,61.46,24.8,27.69,60.85,80.4,68.32,40.53,20.65,17.83,77.09,78.51,55.46,97.53,98.16,98.37,97.69,99.32,99.32,99.32,98.72,99.04,99.56,99.56,98.79,98.2,98.16,98.55,98.46,96.41,71.68,58.28,82.69,37.61,24.13,11.46,42.07,2.54,1.73,2.82,4.2,7.05,1.28,0.44,0.42,0.68,0.49,0.37,1.03,1.82,5.06,2.71,1.26,2.24,2.05,2.45,3.01,8.03,4.18,3.85,7.4,3.27,7.44,14.16,17.41,9.43,21.82,20.79,20.23,45.47,35.35,26.18,55.97,74.45,81.75,86.26,85.67,79.61,49.79,53.52,43.0,25.08,39.57,45.78,39.8,54.04,29.54,44.05,36.98,16.08,21.56,32.2,10.29,1.77,4.34,1.68,2.05,1.21,5.51
605299.SH,舒华体育,文教休闲,87.45,89.08,86.23,76.99,91.88,92.32,95.82,95.94,95.75,98.58,98.27,98.69,99.09,98.97,97.34,94.98,96.87,96.45,96.24,94.96,93.28,90.99,91.86,89.66,70.16,22.52,51.66,51.19,58.21,7.77,6.07,2.08,1.05,1.8,8.42,23.96,11.13,7.33,40.04,75.92,73.33,71.28,75.57,59.52,62.46,76.01,77.41,83.5,81.12,92.7,90.88,95.45,96.73,94.94,87.59,84.25,90.11,82.59,79.89,44.47,57.3,90.71,84.88,90.43,90.34,88.17,77.39,77.88,65.84,30.94,52.29,37.1,29.47,36.63,67.59,59.59,29.07,63.91,71.91,71.93,56.04,25.45,54.22,68.08,71.05,71.47,47.34,63.86,70.84,79.23,73.54,75.08,77.74,84.23,65.26,70.56,84.67,72.8,28.65,36.16
688025.SH,杰普特,元器件,87.42,82.06,81.17,65.8,67.06,67.43,68.81,77.67,65.47,77.2,54.32,65.98,60.43,70.07,73.12,70.98,72.68,72.31,79.65,85.0,69.55,84.67,86.79,88.26,85.49,79.68,64.79,49.67,55.88,63.74,73.94,72.75,79.96,75.01,87.82,90.39,97.57,97.34,99.04,98.58,98.34,98.16,97.99,98.18,98.95,98.76,98.93,98.6,97.92,97.64,96.52,97.11,96.69,92.02,65.96,56.37,14.77,14.61,2.12,3.87,3.29,3.22,3.08,7.09,1.33,3.17,3.5,13.72,29.4,17.27,8.07,4.85,6.28,20.16,25.8,36.68,24.59,47.9,42.95,17.27,14.75,12.51,11.81,4.71,7.7,4.27,7.14,2.57,4.48,4.83,20.0,16.12,13.91,12.25,23.38,15.94,33.11,48.2,58.94,69.18
300229.SZ,拓尔思,软件服务,87.4,86.75,86.68,88.47,87.89,85.18,84.06,78.04,77.69,69.18,64.56,10.29,7.54,9.01,8.94,16.38,21.26,13.39,14.82,27.16,13.35,49.3,59.94,41.53,43.47,51.12,87.77,86.86,91.18,93.07,90.43,86.23,83.9,83.43,84.69,83.15,80.45,89.1,88.15,80.17,85.09,69.46,66.71,72.42,77.9,67.57,4.46,9.64,4.88,4.29,9.33,14.63,31.29,32.38,28.53,82.62,89.45,83.67,77.41,76.11,69.32,79.4,74.41,73.08,58.21,67.06,79.89,76.88,77.53,78.84,78.07,80.4,62.09,63.49,52.82,11.06,4.6,5.37,7.56,23.29,27.55,12.37,11.34,15.21,10.22,14.14,16.52,14.91,18.76,18.22,13.21,8.49,18.55,19.04,24.2,24.29,45.5,24.41,39.8,28.25
300627.SZ,华测导航,通信设备,87.38,83.36,89.45,84.11,92.72,89.76,86.63,83.04,84.74,83.43,80.38,75.43,60.06,83.95,76.08,81.47,70.51,66.1,65.19,78.28,67.85,64.26,21.16,42.0,4.55,10.17,20.63,32.9,47.9,35.93,48.62,46.45,69.74,58.68,71.79,65.12,79.14,86.91,91.44,87.98,88.15,89.5,92.91,93.7,93.93,98.37,98.3,99.11,99.07,99.04,98.93,98.95,98.41,97.57,96.73,97.18,93.51,88.66,72.31,70.02,83.88,93.26,85.32,78.72,68.34,21.07,16.5,3.15,2.61,3.27,6.44,8.52,10.45,10.43,22.17,34.58,45.33,44.49,42.74,61.92,19.6,10.45,25.9,48.11,34.74,32.45,42.56,42.88,47.9,55.69,35.07,55.6,45.99,67.9,56.65,43.93,41.97,56.07,77.04,69.88
002940.SZ,昂利康,化学制药,87.35,87.96,85.37,80.89,76.64,77.27,80.19,79.49,74.9,73.71,89.57,91.48,82.34,55.81,12.37,19.93,14.47,3.9,11.39,30.75,41.93,56.11,55.86,72.96,68.55,70.23,61.74,74.08,80.49,75.92,42.86,30.1,12.97,13.21,13.21,14.51,24.76,46.48,48.51,22.0,21.05,11.06,10.59,6.53,11.27,6.58,17.01,11.6,10.01,13.21,16.19,9.03,21.58,32.36,48.48,46.41,23.36,22.17,23.82,31.71,48.44,40.32,40.6,44.52,41.3,47.41,32.15,29.28,25.52,28.11,24.24,36.84,39.45,31.68,20.98,25.22,36.23,38.4,34.37,37.98,28.16,38.75,37.07,40.64,39.38,47.99,45.96,41.79,65.17,76.57,78.09,76.29,74.87,77.9,81.29,82.15,82.08,83.46,84.58,85.88
600666.SH,ST瑞德,元器件,87.33,87.8,94.94,93.82,88.24,93.89,94.66,96.92,97.39,98.44,97.64,96.64,97.39,96.69,98.34,97.74,97.6,95.38,92.56,88.96,82.52,82.41,79.86,78.81,84.23,77.23,65.94,40.15,49.28,34.41,42.91,50.47,31.47,35.46,17.1,17.76,16.1,35.79,33.64,49.02,40.11,37.33,19.97,33.25,31.29,30.59,31.29,43.21,23.89,17.9,29.14,40.97,57.86,52.4,46.69,50.93,47.74,34.3,27.76,18.15,24.59,25.36,26.13,27.04,23.54,14.14,7.33,6.93,5.51,6.77,3.64,7.93,6.81,11.74,10.43,10.03,11.6,11.67,20.3,22.19,31.59,56.39,41.23,44.87,38.4,60.22,81.08,71.72,74.38,71.09,81.17,72.63,51.89,42.21,49.88,37.68,39.17,47.85,43.68,51.73
000828.SZ,东莞控股,路桥,87.31,80.87,80.68,88.01,85.77,85.16,79.14,83.69,81.43,79.23,92.42,86.21,87.84,74.85,61.92,35.49,30.4,49.6,63.65,40.78,52.05,57.44,52.17,43.51,57.79,52.22,62.81,64.89,61.69,64.96,25.38,30.19,35.98,26.46,44.26,44.45,46.13,33.2,38.17,46.01,36.91,35.56,45.54,40.48,27.67,42.02,38.5,30.03,42.28,31.26,38.03,45.31,39.08,46.17,47.2,47.04,39.9,47.06,47.78,42.98,40.85,49.86,57.28,59.68,64.77,50.7,51.7,54.2,43.12,44.21,39.29,49.72,55.2,52.5,44.49,46.43,53.87,46.22,36.84,37.26,36.65,33.22,25.48,36.26,26.13,26.88,28.46,36.7,37.94,35.35,38.94,46.97,36.19,40.88,46.36,52.22,52.78,57.26,65.63,63.09
000573.SZ,粤宏远A,区域地产,87.28,91.06,77.88,74.27,67.71,69.93,65.14,43.93,39.38,32.57,39.64,42.16,52.19,38.1,33.6,30.31,28.77,28.65,21.56,31.31,14.72,6.72,31.52,26.08,49.72,35.32,41.76,42.32,52.47,50.49,52.85,43.84,32.29,38.61,33.64,27.18,31.99,23.8,20.21,15.19,11.88,17.17,16.43,26.2,18.46,22.1,22.21,36.16,31.8,30.33,26.08,29.84,42.84,53.52,64.07,72.42,68.76,66.26,71.93,76.36,82.76,78.74,83.06,81.38,82.48,83.64,84.6,78.39,82.45,81.92,79.09,80.98,81.36,75.45,66.1,72.07,75.03,76.25,79.86,67.45,90.6,72.1,41.79,60.87,72.8,69.83,45.66,53.76,53.41,45.8,35.18,28.7,21.19,29.84,37.24,24.01,18.15,16.71,10.38,13.7
002074.SZ,国轩高科,电气设备,87.26,84.69,78.07,72.77,50.19,48.53,45.17,65.94,72.94,80.68,79.0,88.68,89.52,91.37,90.64,91.76,86.16,88.22,95.5,95.66,96.29,96.08,98.11,99.21,99.14,98.69,98.62,98.72,98.41,97.76,98.48,95.45,93.91,91.86,94.07,93.16,92.74,90.18,89.1,95.99,95.52,94.54,81.43,67.99,62.16,68.83,51.66,21.89,13.46,25.62,12.04,12.34,43.14,39.57,12.09,24.99,51.98,53.78,12.02,8.21,3.64,9.01,25.85,20.04,34.25,47.6,56.74,69.04,75.87,41.51,32.94,40.9,35.11,45.26,45.59,21.0,10.57,20.37,25.99,12.67,18.64,19.81,15.0,30.56,23.8,23.61,43.77,44.42,40.15,88.4,90.83,94.89,93.49,93.05,94.89,96.22,96.87,95.64,96.5,96.9
688369.SH,致远互联,软件服务,87.24,91.34,84.93,82.24,88.03,84.58,81.71,69.86,73.05,74.55,67.41,67.55,72.56,70.79,69.13,73.29,69.48,77.3,76.69,81.5,57.33,48.32,59.5,64.58,56.81,68.64,57.86,78.21,71.63,77.09,72.75,63.14,63.28,43.16,37.94,29.58,36.65,23.38,17.76,25.57,50.96,85.11,81.36,78.39,74.83,64.16,74.13,70.42,74.43,75.43,77.93,85.28,86.09,91.04,89.1,91.13,90.69,86.58,90.83,77.41,50.4,11.29,21.28,19.41,18.83,24.94,16.64,14.26,16.24,12.51,13.6,11.55,6.53,8.94,20.46,20.3,18.29,21.26,11.71,16.75,18.06,20.0,15.8,27.16,33.48,35.67,56.95,49.88,47.71,40.95,41.46,52.33,43.77,33.25,36.77,40.83,22.94,32.43,50.93,44.75
600543.SH,莫高股份,红黄酒,87.21,85.37,86.77,87.26,90.32,85.37,79.02,82.73,77.65,36.84,52.87,65.26,66.17,48.06,51.38,43.82,10.55,5.55,21.14,11.15,19.48,29.49,30.7,44.33,38.01,43.54,56.25,57.19,59.31,59.26,46.41,13.95,15.98,19.46,13.6,18.32,18.27,13.37,11.13,10.99,18.36,19.44,21.19,11.85,9.85,10.22,8.4,3.9,5.62,7.02,7.51,10.64,13.88,15.94,17.85,23.43,21.63,24.06,32.97,33.08,32.59,29.75,26.97,33.71,32.38,38.38,33.62,39.97,49.93,57.56,62.88,57.26,55.48,57.12,80.14,67.62,70.63,72.8,76.6,81.26,80.94,84.37,81.19,79.63,76.01,72.19,73.5,67.85,62.02,48.34,50.77,55.39,56.72,48.18,19.13,34.48,28.46,38.12,22.84,17.73
300466.SZ,赛摩智能,电器仪表,87.19,84.3,87.31,86.77,84.72,86.72,82.85,82.97,83.53,69.55,71.56,64.14,45.68,76.48,76.95,88.01,84.83,82.38,80.1,81.33,66.26,72.19,73.82,69.93,70.0,54.15,63.95,69.44,69.32,76.41,74.66,86.63,87.94,61.97,76.39,69.09,76.27,74.94,87.96,83.39,84.23,83.67,86.86,86.21,87.28,83.39,78.86,74.78,68.04,63.0,79.16,65.24,54.11,60.06,28.67,16.52,11.15,15.84,4.46,7.12,11.11,9.26,4.74,7.28,5.95,11.5,15.77,15.98,18.88,25.45,14.21,7.09,10.87,15.03,14.58,19.65,31.05,41.69,45.01,41.37,37.31,44.89,57.72,54.67,69.25,75.48,66.03,77.32,73.92,53.03,52.36,55.27,56.58,63.6,65.21,55.02,56.98,43.86,55.53,78.14
300169.SZ,天晟新材,塑料,87.17,77.09,52.05,52.8,25.13,29.4,31.45,21.3,11.15,7.19,5.39,4.32,3.76,3.55,3.78,4.04,3.29,3.41,15.94,39.41,12.67,32.99,36.42,24.22,40.41,15.1,31.75,48.88,65.28,70.67,68.62,64.75,65.49,59.96,54.04,49.58,53.64,42.53,9.17,4.15,19.16,28.46,34.93,32.8,50.28,62.25,38.73,22.7,25.13,11.46,14.84,19.06,13.63,15.42,27.34,16.47,16.33,16.87,16.31,22.45,12.65,9.52,10.78,18.39,15.26,8.03,13.63,18.71,10.5,54.41,42.23,52.92,49.79,65.12,46.03,60.87,57.86,70.11,79.68,84.02,88.87,85.95,91.2,85.88,91.72,91.72,92.63,91.93,90.83,70.16,76.13,66.36,75.76,67.36,59.38,53.64,65.17,74.17,64.4,48.69
300505.SZ,川金诺,化工原料,87.14,95.01,96.52,96.27,95.08,91.44,93.23,94.12,98.83,98.88,98.44,98.09,98.46,98.76,97.64,97.43,98.34,99.37,99.3,99.14,99.65,99.77,99.7,99.63,99.72,99.79,99.86,99.72,98.95,98.58,98.44,98.27,97.36,95.99,97.95,96.01,91.9,75.57,84.72,80.82,47.29,7.23,3.43,41.37,59.12,53.66,39.13,13.84,3.76,1.68,6.32,19.34,43.05,66.52,12.58,89.38,96.52,99.39,99.35,99.56,98.83,97.01,98.88,98.2,96.69,96.34,98.53,98.76,98.88,98.93,98.79,98.06,96.38,95.03,97.08,82.22,40.04,16.57,4.74,4.15,12.55,24.59,4.48,5.76,11.18,18.13,4.11,31.43,27.44,65.26,49.6,66.73,76.43,93.3,96.01,93.28,89.29,74.78,59.85,45.43
601066.SH,中信建投,证券,87.12,59.78,51.66,49.63,32.97,47.95,59.59,45.59,15.31,20.98,23.54,13.91,15.0,27.23,20.3,15.68,11.69,11.99,11.9,17.5,16.1,32.03,20.35,21.54,38.1,21.77,13.91,16.38,18.08,19.55,20.79,20.49,17.36,18.83,26.67,21.72,30.4,22.49,19.72,15.52,21.3,20.98,32.71,31.43,22.26,24.17,34.34,56.44,79.82,49.86,39.64,52.5,66.01,47.18,46.76,39.92,33.39,55.32,85.93,84.79,86.07,90.57,89.48,87.56,85.32,87.42,81.47,69.67,37.26,52.71,74.55,80.94,75.41,83.2,87.12,92.3,93.96,87.33,63.74,46.62,38.59,21.02,16.99,29.61,29.49,28.74,33.36,48.69,55.06,66.4,36.72,26.9,36.05,28.46,25.66,20.86,15.7,20.91,25.15,46.27
